number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_dropout_rate,params_epsilon_decay,params_gamma,params_hidden_dim_0,params_hidden_dim_1,params_hidden_dim_2,params_hidden_dim_3,params_learning_rate,params_lr_decay_factor,params_lr_decay_steps,params_num_layers,params_target_update,params_use_dropout,params_use_lr_schedule,state
0,-inf,2025-12-06 12:48:55.051841,2025-12-06 12:48:55.595425,0 days 00:00:00.543584,64,70000,0.431628816456467,0.9909164715751888,0.9763662600679688,512,128,512.0,128.0,0.008715797913446522,,,4,1000,True,False,COMPLETE
1,-inf,2025-12-06 12:48:55.046871,2025-12-06 12:48:56.244267,0 days 00:00:01.197396,128,50000,0.13261653056101294,0.9979718570255491,0.965673862478275,128,64,512.0,256.0,0.005852283010313278,,,4,300,True,False,COMPLETE
2,-inf,2025-12-06 12:48:55.061237,2025-12-06 12:48:55.908864,0 days 00:00:00.847627,64,40000,,0.9947577928814864,0.9858315470919325,512,64,256.0,512.0,0.0021377565474968658,,,4,400,False,False,COMPLETE
3,-inf,2025-12-06 12:48:56.181603,2025-12-06 12:48:57.200899,0 days 00:00:01.019296,256,30000,0.48553474462070234,0.9968663120758257,0.9608260523885228,64,64,,,1.0392622636692875e-05,,,2,300,True,False,COMPLETE
4,-inf,2025-12-06 12:48:56.251575,2025-12-06 12:48:56.770815,0 days 00:00:00.519240,64,90000,0.4021093155944474,0.9935395154978809,0.9500592426173529,512,64,256.0,,2.0306533726828496e-05,,,3,200,True,False,COMPLETE
5,-inf,2025-12-06 12:48:56.699241,2025-12-06 12:48:57.328357,0 days 00:00:00.629116,32,40000,,0.9958493305169979,0.9669528226453521,128,128,,,6.272996704454091e-05,,,2,700,False,False,COMPLETE
6,-inf,2025-12-06 12:48:57.037934,2025-12-06 12:48:57.748517,0 days 00:00:00.710583,256,100000,,0.9942218028273082,0.9530067749984993,256,256,64.0,512.0,3.483793969909879e-05,,,4,800,False,False,COMPLETE
7,-inf,2025-12-06 12:48:57.549058,2025-12-06 12:48:58.380196,0 days 00:00:00.831138,128,60000,0.18192745062820914,0.9984165081681836,0.9519709098772109,512,64,,,0.009874905798919949,,,2,400,True,False,COMPLETE
8,-inf,2025-12-06 12:48:57.686626,2025-12-06 12:48:58.540605,0 days 00:00:00.853979,256,90000,0.4809166989526913,0.9925347714663773,0.9978142777221026,64,128,64.0,512.0,1.5423578133601845e-05,0.3147432927468429,500.0,4,900,True,True,COMPLETE
9,-inf,2025-12-06 12:48:58.108264,2025-12-06 12:48:58.834194,0 days 00:00:00.725930,256,70000,0.3683431975814635,0.9954299395205932,0.9903288140796778,64,64,,,2.308463895205286e-05,0.7695901294873178,150.0,2,200,True,True,COMPLETE
10,-inf,2025-12-06 12:48:58.790221,2025-12-06 12:48:59.236917,0 days 00:00:00.446696,64,20000,,0.9973537476922311,0.9785866213314371,512,256,512.0,512.0,3.466864865931392e-05,,,4,600,False,False,COMPLETE
11,-inf,2025-12-06 12:48:59.098885,2025-12-06 12:48:59.926477,0 days 00:00:00.827592,64,80000,,0.991220186422035,0.9930012378671977,512,128,128.0,128.0,0.006995037574979505,,,4,1000,False,False,COMPLETE
12,-inf,2025-12-06 12:48:59.182639,2025-12-06 12:49:00.477601,0 days 00:00:01.294962,128,50000,0.12428214371590621,0.9974818274397954,0.9599046736458782,128,64,512.0,256.0,0.008037504269188126,,,4,600,True,False,COMPLETE
13,-inf,2025-12-06 12:48:59.458919,2025-12-06 12:49:00.475755,0 days 00:00:01.016836,64,90000,0.12323332870761533,0.9909061125762655,0.9680116407626236,512,64,512.0,256.0,0.0056204113466045,,,4,800,True,False,COMPLETE
14,-inf,2025-12-06 12:49:00.126407,2025-12-06 12:49:00.984532,0 days 00:00:00.858125,128,70000,0.10307105310451034,0.9945350158612064,0.9649496551817079,128,64,512.0,256.0,0.004900050232753765,,,4,300,True,False,COMPLETE
15,-inf,2025-12-06 12:49:00.850468,2025-12-06 12:49:01.664508,0 days 00:00:00.814040,16,60000,0.2592078592600274,0.9902414705914984,0.9791401418926504,64,128,512.0,,0.000772493610585184,,,3,1000,True,False,COMPLETE
16,-inf,2025-12-06 12:49:00.937100,2025-12-06 12:49:02.099416,0 days 00:00:01.162316,128,40000,0.272064485537331,0.9983494895116298,0.9874522986004409,256,64,512.0,128.0,0.005430276085066541,,,4,300,True,False,COMPLETE
17,-inf,2025-12-06 12:49:01.226129,2025-12-06 12:49:02.166835,0 days 00:00:00.940706,64,20000,0.27086302043140587,0.9925339133191352,0.9615078086964478,512,128,512.0,128.0,0.0016872658098648905,,,4,800,True,False,COMPLETE
18,-inf,2025-12-06 12:49:02.026184,2025-12-06 12:49:02.726300,0 days 00:00:00.700116,16,30000,0.30071497589657525,0.9970395240468383,0.9507272963452666,128,256,128.0,128.0,0.008127935419286548,0.14260199997138412,300.0,4,300,True,True,COMPLETE
19,-inf,2025-12-06 12:49:02.280788,2025-12-06 12:49:03.684178,0 days 00:00:01.403390,256,30000,0.37287912641536813,0.9901908388423873,0.9772298264503028,128,128,128.0,64.0,0.007796265592960335,,,4,800,True,False,COMPLETE
20,-inf,2025-12-06 12:49:02.507492,2025-12-06 12:49:03.409070,0 days 00:00:00.901578,256,50000,0.3572409309790199,0.9988202782255718,0.9700419601374206,128,64,128.0,,0.0007364862623049362,,,3,100,True,False,COMPLETE
21,-inf,2025-12-06 12:49:03.019605,2025-12-06 12:49:03.870574,0 days 00:00:00.850969,256,80000,0.3953976761135896,0.9905398799262985,0.9715951258150026,128,128,512.0,64.0,0.007514260007159702,,,4,600,True,False,COMPLETE
22,-inf,2025-12-06 12:49:03.624187,2025-12-06 12:49:04.204454,0 days 00:00:00.580267,64,80000,0.20868978835379867,0.9942374357022941,0.9848717035249247,128,512,512.0,,0.0032373484213545334,,,3,1000,True,False,COMPLETE
23,-inf,2025-12-06 12:49:03.991599,2025-12-06 12:49:05.341504,0 days 00:00:01.349905,64,30000,,0.9944417476809193,0.9749216512489838,512,64,256.0,256.0,0.0014686922739629129,,,4,500,False,False,COMPLETE
24,-inf,2025-12-06 12:49:04.173899,2025-12-06 12:49:04.908880,0 days 00:00:00.734981,16,20000,,0.994756496316876,0.9919145622504658,512,128,256.0,256.0,0.0026870649019186173,,,4,700,False,False,COMPLETE
25,-inf,2025-12-06 12:49:04.414305,2025-12-06 12:49:05.422722,0 days 00:00:01.008417,64,30000,,0.9959916145392363,0.9863330766985756,512,64,256.0,,0.0020119633628576388,,,3,500,False,False,COMPLETE
26,-inf,2025-12-06 12:49:05.306571,2025-12-06 12:49:06.747265,0 days 00:00:01.440694,256,100000,0.19463893171665153,0.9920892531237547,0.9822735927661437,512,128,256.0,512.0,0.003276249773207214,0.5400347447840669,100.0,4,900,True,True,COMPLETE
27,-inf,2025-12-06 12:49:05.502869,2025-12-06 12:49:07.401449,0 days 00:00:01.898580,64,70000,0.194281225578456,0.9913809692245775,0.9810558010543909,512,256,256.0,512.0,0.008601967895950188,0.5770782293623853,100.0,4,1000,True,True,COMPLETE
28,-inf,2025-12-06 12:49:05.835476,2025-12-06 12:49:07.256212,0 days 00:00:01.420736,32,70000,0.1911432312622205,0.990598765662614,0.9935599331655516,512,128,256.0,512.0,0.009977055416092099,,,4,700,True,False,COMPLETE
29,-inf,2025-12-06 12:49:07.089671,2025-12-06 12:49:07.977363,0 days 00:00:00.887692,16,50000,,0.9944382325710366,0.9946861142949045,512,64,64.0,128.0,0.00032193809375296564,,,4,100,False,False,COMPLETE
30,-inf,2025-12-06 12:49:07.465633,2025-12-06 12:49:08.638937,0 days 00:00:01.173304,256,30000,0.49689874354026314,0.9972974953864153,0.9614183818180899,64,128,64.0,128.0,0.007054578897660507,,,4,300,True,False,COMPLETE
31,-inf,2025-12-06 12:49:07.709585,2025-12-06 12:49:08.715350,0 days 00:00:01.005765,64,40000,,0.993420203264381,0.9883880089333452,64,512,64.0,128.0,0.005829168343437881,,,4,300,False,False,COMPLETE
32,-inf,2025-12-06 12:49:08.271717,2025-12-06 12:49:09.298027,0 days 00:00:01.026310,64,70000,0.4615331413387228,0.9923881336660133,0.9731330488848777,256,128,512.0,64.0,0.002823698631657372,,,4,900,True,False,COMPLETE
33,-inf,2025-12-06 12:49:08.838191,2025-12-06 12:49:09.756571,0 days 00:00:00.918380,256,50000,0.4635739897573426,0.9954105360859762,0.9567002461560528,64,64,,,3.066729647530044e-05,,,2,100,True,False,COMPLETE
34,-inf,2025-12-06 12:49:09.069851,2025-12-06 12:49:10.378257,0 days 00:00:01.308406,256,40000,0.496079215463307,0.9952143099995904,0.9555474957817862,128,64,,,1.9629349076528233e-05,0.8510877808571687,400.0,2,300,True,True,COMPLETE
35,-inf,2025-12-06 12:49:09.572929,2025-12-06 12:49:10.419631,0 days 00:00:00.846702,256,40000,0.49750858644164075,0.995776253278202,0.9673769596249647,256,64,256.0,,1.2632139549391498e-05,,,3,500,True,False,COMPLETE
36,-inf,2025-12-06 12:49:09.956539,2025-12-06 12:49:10.774158,0 days 00:00:00.817619,16,10000,0.48786350307597953,0.9967459697594283,0.9716557641648235,64,64,,,1.029986727491757e-05,,,2,400,True,False,COMPLETE
37,-inf,2025-12-06 12:49:10.620753,2025-12-06 12:49:11.544647,0 days 00:00:00.923894,64,70000,,0.990429985270407,0.9627304687756696,512,128,512.0,256.0,0.0012167011496302244,,,4,1000,False,False,COMPLETE
38,-inf,2025-12-06 12:49:10.623379,2025-12-06 12:49:11.601778,0 days 00:00:00.978399,256,40000,,0.9970925776297819,0.9548882345075008,64,128,,,1.606873631283668e-05,0.38308393355248294,250.0,2,300,False,True,COMPLETE
39,-inf,2025-12-06 12:49:11.086448,2025-12-06 12:49:11.888824,0 days 00:00:00.802376,256,30000,,0.9987982053386486,0.9717780451241187,64,256,,,1.4516449426897549e-05,,,2,400,False,False,COMPLETE
40,-inf,2025-12-06 12:49:11.824086,2025-12-06 12:49:12.746841,0 days 00:00:00.922755,256,20000,0.3997971244844567,0.997489963827123,0.9593818030743528,64,512,,,1.1328393223671376e-05,,,2,400,True,False,COMPLETE
41,-inf,2025-12-06 12:49:11.920923,2025-12-06 12:49:12.828639,0 days 00:00:00.907716,256,10000,0.4099648912466248,0.9982368332601913,0.9569958341072468,128,256,256.0,,2.0178302751077723e-05,,,3,200,True,False,COMPLETE
42,-inf,2025-12-06 12:49:11.991864,2025-12-06 12:49:12.974777,0 days 00:00:00.982913,16,80000,0.4255980053645851,0.9981866161226791,0.95778177821604,512,64,256.0,256.0,0.0044265566270132095,,,4,100,True,False,COMPLETE
43,-inf,2025-12-06 12:49:12.940386,2025-12-06 12:49:13.357693,0 days 00:00:00.417307,64,100000,,0.9943752519433597,0.952014320042113,512,64,256.0,,1.5073485214946453e-05,,,3,300,False,False,COMPLETE
