#{"t_start": 1765103878.5586216, "env_id": "None"}
r,l,t
-343.4038,200,18.726423
-156.21161,200,18.726955
-227.46909,200,18.727074
-206.65782,200,18.727164
-347.11133,200,18.727282
-329.50983,200,18.727476
-289.72278,200,18.727678
-150.26163,200,18.727791
-322.7526,200,20.897971
-125.45109,200,20.898158
-169.75888,200,20.898251
-156.52248,200,20.898332
-156.65237,200,20.898411
-143.9423,200,20.898509
-106.04088,200,20.898584
-155.48776,200,20.898658
-74.49643,200,22.531438
-158.9031,200,22.531639
-192.81273,200,22.531755
-135.84929,200,22.531864
-103.32178,200,22.531951
-176.77943,200,22.532038
-117.63285,200,22.53214
-59.9901,200,22.532228
-59.08347,200,25.363962
-64.45437,200,25.364258
-69.78972,200,25.364625
-109.94381,200,25.365203
-59.718517,200,25.365347
-64.00076,200,25.365415
-112.04149,200,25.365466
-65.839,200,25.365515
-57.574345,200,27.380814
-74.635925,200,27.380952
-101.99563,200,27.381004
-62.33819,200,27.381068
-106.002525,200,27.381135
-67.376076,200,27.381282
-63.679474,200,27.381347
-58.99662,200,27.381415
-5.590211,8,27.42751
-11.620826,14,27.459221
-80.25806,200,29.541105
-58.96799,200,29.541265
-65.640976,200,29.541343
-58.17363,200,29.541407
-61.66751,200,29.541463
-61.303017,200,29.541521
-58.098736,200,29.587203
-70.68499,200,29.619551
-60.122,200,31.070739
-59.002052,200,31.070899
-62.287,200,31.070973
-58.718864,200,31.071034
-65.14391,200,31.071094
-64.25877,200,31.071152
-57.187683,200,31.113016
-71.54418,200,31.696911
-68.35741,200,33.144556
-63.683044,200,33.144674
-57.092503,200,33.144728
-59.31587,200,33.144768
-57.18451,200,33.144807
-62.952805,200,33.144845
-61.44232,200,33.192016
-57.68032,200,33.222483
-58.924232,200,35.167597
-61.908634,200,35.167763
-79.16528,200,35.167837
-57.628853,200,35.167899
-93.41329,200,35.167959
-57.297348,200,35.168017
-63.63412,200,35.209677
-62.319492,200,35.24655
-63.210255,200,36.690223
-65.08994,200,36.690345
-59.92667,200,36.690387
-60.765858,200,36.690419
-60.126347,200,36.690449
-57.429516,200,36.690477
-64.35321,200,36.736006
-61.412895,200,36.767594
-68.967865,200,38.697836
-72.656975,200,38.698012
-60.218716,200,38.698108
-57.160854,200,38.698171
-61.118362,200,38.698231
-63.5286,200,38.69829
-62.53984,200,38.740199
-57.02373,200,38.77374
-58.337646,200,40.272653
-58.59623,200,40.272816
-61.794727,200,40.272901
-62.297928,200,40.272966
-62.343487,200,40.273027
-61.849197,200,40.273112
-57.224827,200,40.326498
-58.99777,200,40.357652
-59.55408,200,42.363611
-56.97362,200,42.36375
-58.921165,200,42.363812
-63.85486,200,42.363862
-58.673206,200,42.363909
-79.22549,200,42.363956
-61.817654,200,42.416256
-68.59125,200,42.448673
-56.30154,200,43.908425
-63.78494,200,43.908679
-58.861652,200,43.908767
-57.783688,200,43.908835
-60.034782,200,43.90888
-58.089237,200,43.908918
-70.16391,200,43.954632
-10.956452,12,43.976784
-69.929054,200,43.988299
-58.887093,200,45.979932
-61.793503,200,45.980051
-63.078987,200,45.980103
-61.351578,200,45.980143
-58.990723,200,45.980181
-71.634895,200,46.02319
-6.0231447,9,46.029009
-73.75429,200,46.045074
-59.3512,200,46.059075
-2.6202648,6,46.089251
-66.000336,200,47.561196
-58.79584,200,47.56137
-60.91267,200,47.561447
-68.267265,200,47.561512
-59.81059,200,48.132843
-61.827587,200,48.140232
-57.84997,200,48.157295
-61.400455,200,48.20296
-59.53567,200,49.664427
-57.70099,200,49.66458
-62.386368,200,49.664657
-66.27896,200,49.664721
-65.91133,200,49.710022
-60.90794,200,49.716983
-57.716034,200,49.73224
-59.090088,200,49.768497
-81.67605,200,51.712741
-60.564842,200,51.712864
-62.002087,200,51.71293
-62.215477,200,51.713035
-61.694237,200,51.758684
-60.909664,200,51.765287
-64.9192,200,51.782377
-61.29957,200,51.826556
-59.578163,200,53.229285
-59.01491,200,53.229401
-61.920914,200,53.229449
-67.36586,200,53.229486
-63.588264,200,53.272117
-59.604298,200,53.278814
-7.7288837,10,53.285241
-76.61926,200,53.297071
-61.892563,200,53.335005
-66.02636,200,55.303249
-62.746815,200,55.303428
-60.878418,200,55.303634
-62.363304,200,55.349607
-62.508217,200,55.355719
-62.146133,200,55.362711
-57.76786,200,55.373149
-58.727028,200,55.416474
-57.702126,200,56.845826
-57.789383,200,56.846043
-59.474323,200,56.846123
-63.178917,200,56.883781
-86.468925,200,56.889525
-60.583515,200,56.896599
-60.07206,200,56.908145
-63.51778,200,56.950117
-60.762894,200,58.87094
-62.705967,200,58.871078
-61.01546,200,58.871164
-59.116943,200,58.917781
-60.84889,200,58.924016
-58.56852,200,58.930357
-58.38222,200,58.941703
-63.140575,200,58.983368
-59.058723,200,60.37447
-66.051315,200,60.374664
-59.838673,200,60.374743
-62.621513,200,60.419518
-60.69167,200,60.951592
-62.47795,200,60.958253
-82.9094,200,60.969989
-13.077924,16,60.995883
-8.02162,10,61.013443
-113.477165,200,61.018918
-63.313652,200,62.54383
-110.80579,200,62.543973
-65.702995,200,62.585562
-57.9928,200,62.596459
-67.443275,200,62.606173
-59.608223,200,62.626785
-61.001465,200,62.64306
-58.875866,200,62.648611
-59.680405,200,64.660472
-71.62207,200,64.66062
-61.59032,200,64.700054
-64.707855,200,64.711582
-58.04631,200,64.7225
-120.28308,200,64.742731
-67.00727,200,64.760322
-58.88985,200,64.766897
-61.036453,200,66.167531
-61.182438,200,66.167694
-58.7407,200,66.213143
-502.01382,200,66.224291
-65.31279,200,66.236751
-62.620945,200,66.259647
-71.53897,200,66.275365
-58.423847,200,66.282076
-61.64177,200,68.554338
-56.6847,200,68.554457
-75.699745,200,68.599525
-62.347446,200,68.611113
-72.38999,200,68.620957
-60.93723,200,68.64011
-60.795044,200,68.654304
-59.897068,200,68.660329
-83.34666,200,70.298785
-89.72558,200,70.29892
-72.0766,200,70.341483
-493.92398,200,70.352561
-57.79408,200,70.361759
-79.842766,200,70.382699
-505.64297,200,70.396943
-72.44077,200,70.40191
-63.01519,200,72.198788
-60.939552,200,72.19895
-61.10759,200,72.236437
-57.52486,200,72.244982
-61.53081,200,72.256185
-63.153107,200,72.279673
-497.56723,200,72.297347
-502.59625,200,72.30285
-60.065838,200,73.69067
-73.5628,200,73.690797
-61.629047,200,73.724268
-5.3351893,8,73.724383
-60.169514,200,73.73293
-505.59628,200,73.741953
-481.9032,200,73.762884
-61.555763,200,74.290603
-82.55949,200,74.295685
-463.89474,200,75.708552
-60.11938,200,75.75215
-60.714092,200,75.752282
-66.869865,200,75.763787
-58.80542,200,75.775121
-59.998024,200,75.796625
-60.35388,200,75.80904
-60.43817,200,75.813612
-58.705177,200,77.740211
-61.363407,200,78.269634
-58.525024,200,78.269797
-65.626526,200,78.281024
-494.9936,200,78.289647
-63.90854,200,78.310522
